Time,EventID,Source,Suspicious,Details
Fri Jun 13 20:45:41 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'sujayskp123@gmail.com', 'MicrosoftAccount', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0x538', 'C:\\Windows\\System32\\lsass.exe', '-', '-')"
Fri Jun 13 20:45:41 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'sujayskp123@gmail.com', 'MicrosoftAccount', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0xc34', 'C:\\Windows\\System32\\svchost.exe', '127.0.0.1', '0')"
Fri Jun 13 20:45:39 2025,4625,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', 'S-1-0-0', '-', '-', '0xc000006d', '%%2304', '0xc0000380', '2', 'User32 ', 'Negotiate', '-', '-', '-', '0', '0xc34', 'C:\\Windows\\System32\\svchost.exe', '127.0.0.1', '0')"
Fri Jun 13 20:45:15 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'DWM-9', 'Window Manager', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0x54dc', 'C:\\Windows\\System32\\winlogon.exe', '-', '-')"
Fri Jun 13 20:45:15 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'UMFD-9', 'Font Driver Host', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0x54dc', 'C:\\Windows\\System32\\winlogon.exe', '-', '-')"
Fri Jun 13 20:45:15 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'WsiAccount', 'LAPTOP-6VRMS633', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0xc34', 'C:\\Windows\\System32\\svchost.exe', '127.0.0.1', '0')"
Fri Jun 13 20:45:15 2025,4720,Microsoft-Windows-Security-Auditing,True,"('WsiAccount', 'LAPTOP-6VRMS633', 'S-1-5-21-4278862240-2867839089-4038143622-1012', 'S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '-', 'WsiAccount', '%%1793', '-', '%%1793', '%%1793', '%%1793', '%%1793', '%%1793', '%%1794', '%%1794', '513', '-', '0x0', '0x15', '\r\n\t\t%%2080\r\n\t\t%%2082\r\n\t\t%%2084', '%%1793', '-', '%%1797')"
Fri Jun 13 20:15:08 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'sujayskp123@gmail.com', 'MicrosoftAccount', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0x538', 'C:\\Windows\\System32\\lsass.exe', '-', '-')"
Fri Jun 13 20:15:08 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'sujayskp123@gmail.com', 'MicrosoftAccount', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0xc34', 'C:\\Windows\\System32\\svchost.exe', '127.0.0.1', '0')"
Fri Jun 13 20:14:57 2025,4648,Microsoft-Windows-Security-Auditing,True,"('S-1-5-18', 'LAPTOP-6VRMS633$', 'WORKGROUP', '0x3e7', '{00000000-0000-0000-0000-000000000000}', 'sujayskp123@gmail.com', 'MicrosoftAccount', '{00000000-0000-0000-0000-000000000000}', 'localhost', 'localhost', '0xc34', 'C:\\Windows\\System32\\svchost.exe', '127.0.0.1', '0')"
